PLAYER_ID,PLAYER_NAME,TEAM
1630590,Scotty Pippen Jr.,MEM
1642951,Sean Pedulla,LAC
203552,Seth Curry,GSW
1631101,Shaedon Sharpe,POR
1628983,Shai Gilgeous-Alexander,OKC
1630536,Sharife Cooper,WAS
1631321,Sidy Cissoko,POR
1631323,Simone Fontecchio,MIA
1642883,Sion James,CHA
1627746,Skal Labissiere,WAS
1642461,Spencer Jones,DEN
1630649,Stanley Umude,SAS
201939,Stephen Curry,GSW
1642264,Stephon Castle,SAS
203500,Steven Adams,HOU
1629004,Svi Mykhailiuk,UTA
204456,T.J. McConnell,IND
1643007,Taelon Peter,IND
201959,Taj Gibson,MEM
1631106,Tari Eason,HOU
1627752,Taurean Prince,MIL
1641707,Taylor Hendricks,MEM
1629611,Terance Mann,BKN
1630545,Terrence Shannon Jr.,MIN
203648,Thanasis Antetokounmpo,MIL
1628418,Thomas Bryant,CLE
1642275,Tidjane Salaün,CHA
203501,Tim Hardaway Jr.,DEN
202699,Tobias Harris,DET
1643253,Toby Okani,MEM
1642449,Tolu Smith,DET
1628396,Tony Bradley,ATL
1641787,Tosan Evbuomwan,CHA
1641739,Toumani Camara,POR
1629027,Trae Young,WAS
1631218,Trayce Jackson-Davis,TOR
1642848,Tre Johnson,WAS
1630200,Tre Jones,CHI
1630544,Tre Mann,CHA
1630570,Trendon Watford,PHI
1642280,Trentyn Flowers,CHI
1630286,Trevon Scott,BKN
1631211,Trevor Keels,MIA
1641725,Trey Alexander,NOP
1641998,Trey Jemison III,NYK
1630530,Trey Murphy III,NOP
1642400,Tristan Enaruna,CLE
1641774,Tristan Vukcevic,WAS
1641783,Tristan da Silva,ORL
1641803,Tristen Newton,HOU
1629660,Ty Jerome,MEM
1631102,TyTy Washington Jr.,LAC
1631174,Tyler Burton,MEM
1629639,Tyler Herro,MIA
1642278,Tyler Kolek,NYK
1641890,Tyler Smith,DAL
1631213,Tyrese Martin,PHI
1630178,Tyrese Maxey,PHI
1642878,Tyrese Proctor,CLE
1630623,Tyson Etienne,BKN
1626145,Tyus Jones,DEN
1642845,VJ Edgecombe,PHI
1641705,Victor Wembanyama,SAS
1631246,Vince Williams Jr.,UTA
1642884,Vladislav Goldin,MIA
1630249,Vít Krejčí,POR
1631117,Walker Kessler,UTA
1642383,Walter Clayton Jr.,MEM
1628976,Wendell Carter Jr.,ORL
1631111,Wendell Moore Jr.,DET
1642954,Will Richard,GSW
1642860,Will Riley,WAS
1630214,Xavier Tillman,CHA
1642905,Yang Hansen,POR
1642949,Yanic Konan Niederhäuser,LAC
1642530,Yuki Kawamura,CHI
1642274,Yves Missi,NOP
1642258,Zaccharie Risacher,ATL
1628380,Zach Collins,CHI
1641744,Zach Edey,MEM
203897,Zach LaVine,SAC
1630192,Zeke Nnaji,DEN
1630533,Ziaire Williams,BKN
1629627,Zion Williamson,NOP
1642389,Zyon Pullin,MIN
